Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,12.633514986376023,-47.527977,-0.3477490040566391,-0.3477490040566391,1.0
20000,1.4189383,12.872222222222222,-47.392082,-0.3372261043477819,-0.3372261043477819,1.0
30000,1.4189383,12.73489010989011,-47.092777,-0.34223903875265804,-0.34223903875265804,1.0
40000,1.4189383,12.808011049723756,-44.649437,-0.33734809553754924,-0.33734809553754924,1.0
50000,1.4189383,12.612551159618008,-46.024883,-0.3483265522791415,-0.3483265522791415,1.0
60000,1.4227881,12.774104683195592,-24.380209,-0.34030306019073675,-0.34030306019073675,1.0
70000,1.423462,12.89875173370319,-22.58838,-0.33488891944289206,-0.33488891944289206,1.0
80000,1.423462,12.873435326842838,-21.661728,-0.33515280725227464,-0.33515280725227464,1.0
90000,1.423462,12.74587912087912,-22.031347,-0.34112640011769074,-0.34112640011769074,1.0
100000,1.423462,13.02805049088359,-21.535467,-0.32855543176556035,-0.32855543176556035,1.0
110000,1.4228204,12.477088948787062,-14.6301985,-0.3564016432614339,-0.3564016432614339,1.0
120000,1.4225785,12.794198895027625,-11.732478,-0.3391724398218352,-0.3391724398218352,1.0
130000,1.4225786,12.456140350877194,-11.461253,-0.359044442667775,-0.359044442667775,1.0
140000,1.4225786,12.772099447513812,-11.959856,-0.3408941117408679,-0.3408941117408679,1.0
150000,1.4225786,12.683994528043776,-11.725142,-0.34705885184773344,-0.34705885184773344,1.0
160000,1.4212562,13.236467236467236,-8.747995,-0.3168376373005049,-0.3168376373005049,1.0
170000,1.4204179,12.837950138504155,-6.6745,-0.3386722242931113,-0.3386722242931113,1.0
180000,1.4204179,13.211948790896159,-6.52294,-0.3180966198190369,-0.3180966198190369,1.0
190000,1.4204179,13.143059490084985,-6.722236,-0.3230834792999095,-0.3230834792999095,1.0
200000,1.4204179,12.973426573426574,-6.623153,-0.3301955584290973,-0.3301955584290973,1.0
210000,1.4188665,12.836791147994468,-5.28229,-0.3389765114869979,-0.3389765114869979,1.0
220000,1.4172037,12.75515818431912,-3.6113539,-0.34137554366290157,-0.34137554366290157,1.0
230000,1.4172037,13.336206896551724,-3.7435417,-0.31289401500990194,-0.31289401500990194,1.0
240000,1.4172037,13.173049645390071,-3.8379395,-0.3201702451029568,-0.3201702451029568,1.0
250000,1.4172037,12.852981969486823,-3.6299093,-0.3369667882156504,-0.3369667882156504,1.0
260000,1.4161386,12.7,-3.2125056,-0.34517810895834883,-0.34517810895834883,1.0
270000,1.4142743,13.186079545454545,-2.434953,-0.3201986086706743,-0.3201986086706743,1.0
280000,1.4142743,12.869625520110956,-2.36862,-0.33552013889430465,-0.33552013889430465,1.0
290000,1.4142743,13.191489361702128,-2.434749,-0.3190780416870794,-0.3190780416870794,1.0
300000,1.4142743,12.422818791946309,-2.461461,-0.35895304371846604,-0.35895304371846604,1.0
310000,1.4138663,12.683994528043776,-2.3550758,-0.34560111881605265,-0.34560111881605265,1.0
320000,1.412613,12.607629427792915,-1.9091471,-0.349863785570259,-0.349863785570259,1.0
330000,1.412613,12.493243243243244,-1.8474818,-0.35576821630695116,-0.35576821630695116,1.0
340000,1.412613,12.483783783783784,-1.8366045,-0.3542105508880255,-0.3542105508880255,1.0
350000,1.412613,12.559620596205962,-1.8562285,-0.35322495660969233,-0.35322495660969233,1.0
360000,1.4124619,12.615803814713896,-1.845305,-0.34700275129290953,-0.34700275129290953,1.0
370000,1.4113897,12.89847009735744,-1.4113373,-0.33552013645555706,-0.33552013645555706,1.0
380000,1.4113897,12.662106703146375,-1.4845121,-0.3466666920996103,-0.3466666920996103,1.0
390000,1.4113896,12.647058823529411,-1.3907009,-0.34654374164147456,-0.34654374164147456,1.0
400000,1.4113897,12.029986962190351,-1.4593345,-0.3776141033256536,-0.3776141033256536,1.0
410000,1.4113783,12.580732700135686,-1.3771285,-0.3509633905852019,-0.3509633905852019,1.0
420000,1.4102083,12.460296096904441,-1.1343954,-0.3571102402863964,-0.3571102402863964,1.0
430000,1.4102083,12.373994638069705,-1.1787298,-0.35963858075569594,-0.35963858075569594,1.0
440000,1.4102083,12.359625668449198,-1.1989218,-0.36168451874173263,-0.36168451874173263,1.0
450000,1.4102083,12.339547270306259,-1.2316223,-0.3625066902240117,-0.3625066902240117,1.0
