Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
710000,3.418938,5.12385039852851,2.095654,4.578139010778031,4.578139010778031,1.9731051,0.25630352,8.850577e-05,1.0
720000,3.418938,5.30390920554855,2.2537441,4.780908003195923,4.780908003195923,2.8239696,0.25536048,8.549957e-05,1.0
730000,3.418938,5.377791959157626,2.2671635,4.853508297582062,4.853508297582062,2.533817,0.24625675,8.250271e-05,1.0
740000,3.418938,5.57227332457293,2.344313,5.0402109037091005,5.0402109037091005,3.2319336,0.25486338,7.9504294e-05,1.0
750000,3.418938,5.551769331585845,2.3193023,5.02259397038308,5.02259397038308,3.0856395,0.2520714,7.649624e-05,1.0
760000,3.418938,5.349397590361446,2.2041585,4.815556193457709,4.815556193457709,2.619206,0.25325465,7.3491814e-05,1.0
770000,3.418938,5.468567725210629,2.2890003,4.937532945042741,4.937532945042741,2.8437104,0.25886276,7.05045e-05,1.0
780000,3.418938,5.802452316076295,2.4525383,5.285909456651661,5.285909456651661,3.7192843,0.2464458,6.7499175e-05,1.0
790000,3.418938,5.643379906852961,2.4852412,5.119535547554295,5.119535547554295,2.9804049,0.24583006,6.4494656e-05,1.0
800000,3.418938,5.622354497354498,2.4182034,5.096294495540294,5.096294495540294,2.7559273,0.25055626,6.149293e-05,1.0
810000,3.418938,5.905882352941177,2.551888,5.369662051210753,5.369662051210753,3.7177675,0.24288557,5.8488917e-05,1.0
820000,3.418938,5.729292929292929,2.4820013,5.195491920570024,5.195491920570024,3.544864,0.33955085,5.5498007e-05,1.0
830000,3.418938,5.650698602794411,2.3845572,5.133910236840553,5.133910236840553,3.1549056,0.24294484,5.250596e-05,1.0
840000,3.418938,5.6171201061712015,2.383408,5.0850999893731625,5.0850999893731625,2.8586187,0.24661097,4.9505492e-05,1.0
850000,3.418938,5.749324324324324,2.4727418,5.2026322368989915,5.2026322368989915,3.0465026,0.24948841,4.6502548e-05,1.0
860000,3.418938,5.648271276595745,2.4544816,5.137259474612837,5.137259474612837,3.0031283,0.2428156,4.350891e-05,1.0
870000,3.418938,5.652029274783766,2.398291,5.129170096039376,5.129170096039376,3.087747,0.24765392,4.0503473e-05,1.0
880000,3.418938,5.689886135298058,2.391503,5.162249664545379,5.162249664545379,3.0996978,0.24577124,3.7505324e-05,1.0
890000,3.418938,5.825136612021858,2.491154,5.29979590149056,5.29979590149056,3.4944863,0.24802227,3.44847e-05,1.0
900000,3.418938,5.745111260957518,2.42921,5.221930491618621,5.221930491618621,3.471784,0.24763936,3.1488034e-05,1.0
910000,3.418938,5.716879623402824,2.3891883,5.184967110301024,5.184967110301024,3.290208,0.2398711,2.8503524e-05,1.0
920000,3.418938,5.802999318336742,2.447917,5.294551085386354,5.294551085386354,3.3549592,0.24224645,2.5498555e-05,1.0
930000,3.418938,5.795640326975477,2.4395938,5.269341262970386,5.269341262970386,3.64907,0.23810163,2.2490816e-05,1.0
940000,3.418938,5.841204654346338,2.487039,5.323598490041845,5.323598490041845,3.7953022,0.24266572,1.9503137e-05,1.0
950000,3.418938,5.682274247491639,2.3943977,5.149566461025434,5.149566461025434,2.8937712,0.24089223,1.6509513e-05,1.0
960000,3.418938,5.796736913664174,2.4943385,5.276207337324348,5.276207337324348,3.4940631,0.24606717,1.349496e-05,1.0
970000,3.418938,5.802040816326531,2.468743,5.2652624008365425,5.2652624008365425,3.2870846,0.246143,1.0498014e-05,1.0
980000,3.418938,5.681818181818182,2.4598265,5.156914492806515,5.156914492806515,3.2072718,0.2424531,7.487921e-06,1.0
990000,3.418938,5.871389270976616,2.5921748,5.343230916216611,5.343230916216611,3.2729762,0.23655598,4.493243e-06,1.0
1000000,3.418938,5.945833333333334,2.681787,5.425972914530171,5.425972914530171,3.6709478,0.2439964,1.5027109e-06,1.0
