Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,11.199756394640682,-163.92218,-0.41982907689971366,-0.41982907689971366,1.0
20000,1.4189383,11.262899262899262,-168.10172,-0.4176715835198468,-0.4176715835198468,1.0
30000,1.4189383,11.414179104477611,-164.89902,-0.40804970405116586,-0.40804970405116586,1.0
40000,1.4189383,11.15674362089915,-169.5722,-0.4225881088837384,-0.4225881088837384,1.0
50000,1.4189383,11.271498771498772,-166.40797,-0.41673621089180557,-0.41673621089180557,1.0
60000,1.4213566,10.760895170789164,-98.29092,-0.4425647174610811,-0.4425647174610811,1.0
70000,1.4217702,10.54849884526559,-89.649956,-0.45160509346539096,-0.45160509346539096,1.0
80000,1.4217702,10.388382687927107,-89.34114,-0.460216413496024,-0.460216413496024,1.0
90000,1.4217702,10.791027154663519,-86.95443,-0.44058963779430343,-0.44058963779430343,1.0
100000,1.4217702,10.68421052631579,-88.729866,-0.446810761518846,-0.446810761518846,1.0
110000,1.4207686,10.531718569780853,-61.153805,-0.45333334662647534,-0.45333334662647534,1.0
120000,1.4204108,10.512672811059907,-52.870487,-0.4543498390631791,-0.4543498390631791,1.0
130000,1.4204108,10.53810623556582,-50.63629,-0.4527681807126966,-0.4527681807126966,1.0
140000,1.4204108,10.77122641509434,-52.982384,-0.4415783406497452,-0.4415783406497452,1.0
150000,1.4204108,10.754117647058823,-52.779423,-0.44272621779688376,-0.44272621779688376,1.0
160000,1.4190512,10.813459268004722,-41.5856,-0.43955137002707373,-0.43955137002707373,1.0
170000,1.418204,10.720657276995306,-35.253963,-0.44392732725613004,-0.44392732725613004,1.0
180000,1.418204,10.689331770222744,-36.112835,-0.44447954579403526,-0.44447954579403526,1.0
190000,1.418204,10.587688734030197,-36.033817,-0.4510197110413676,-0.4510197110413676,1.0
200000,1.418204,10.72791519434629,-35.47687,-0.44162163534119603,-0.44162163534119603,1.0
210000,1.4171209,10.542725173210162,-28.4361,-0.45250578764955113,-0.45250578764955113,1.0
220000,1.4159971,10.586805555555555,-20.986586,-0.45028969762913734,-0.45028969762913734,1.0
230000,1.4159971,10.61046511627907,-21.672361,-0.4499884146479609,-0.4499884146479609,1.0
240000,1.4159971,10.69320843091335,-21.250233,-0.444836079515953,-0.444836079515953,1.0
250000,1.4159971,10.601390498261877,-21.491396,-0.4499420075571454,-0.4499420075571454,1.0
260000,1.415044,10.520785219399539,-18.375816,-0.45297236332008917,-0.45297236332008917,1.0
270000,1.413435,10.513824884792626,-14.293104,-0.4536981670194507,-0.4536981670194507,1.0
280000,1.413435,10.693567251461989,-14.202114,-0.4448481405101647,-0.4448481405101647,1.0
290000,1.413435,10.54335260115607,-14.332157,-0.452852208021056,-0.452852208021056,1.0
300000,1.413435,10.564161849710983,-14.475395,-0.4523121516139521,-0.4523121516139521,1.0
310000,1.4127951,10.667056074766355,-13.643896,-0.44684948783493933,-0.44684948783493933,1.0
320000,1.4108526,10.424657534246576,-11.682421,-0.4582077747202355,-0.4582077747202355,1.0
330000,1.4108526,10.274266365688488,-11.506741,-0.4650620194204496,-0.4650620194204496,1.0
340000,1.4108526,10.416475972540045,-11.5868,-0.46044521700573837,-0.46044521700573837,1.0
350000,1.4108526,10.327293318233295,-11.83108,-0.4636693198575574,-0.4636693198575574,1.0
360000,1.4107946,10.533487297921479,-11.2859535,-0.45257209961527084,-0.45257209961527084,1.0
