Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,4.320744680851064,-52.357952,3.7887179317342405,3.7887179317342405,1.0
20000,1.4399606,3.922129127649088,-15.329254,3.4249636030502355,3.4249636030502355,1.0
30000,1.45923,3.9880239520958085,-4.3387694,3.489426975059985,3.489426975059985,1.0
40000,1.4771249,3.993,0.3058496,3.49805346192328,3.49805346192328,1.0
50000,1.4864612,3.9681592039800995,0.8486824,3.470889758305708,3.470889758305708,1.0
60000,1.488761,3.9995,1.2277222,3.5002005364894866,3.5002005364894866,1.0
70000,1.490073,3.9945,1.2555087,3.5112393050046116,3.5112393050046116,1.0
80000,1.4947404,4.014550928248871,1.4200944,3.517803949841047,3.517803949841047,1.0
90000,1.5016396,3.9771144278606965,1.3780955,3.479254272683936,3.479254272683936,1.0
100000,1.5103939,3.9910044977511245,1.3720019,3.5029446594491453,3.5029446594491453,1.0
110000,1.5163742,4.001001001001001,1.4785986,3.515400544524193,3.515400544524193,1.0
120000,1.5209606,4.020592667001507,1.5408072,3.5289162082605094,3.5289162082605094,1.0
130000,1.5276203,4.051087506322711,1.5857052,3.544517978385821,3.544517978385821,1.0
140000,1.5315232,4.021618903971845,1.6717113,3.520482476097513,3.520482476097513,1.0
150000,1.5415434,4.046969696969697,1.5647533,3.547931927725237,3.547931927725237,1.0
160000,1.5508204,4.063323201621074,1.5001094,3.5675612796656035,3.5675612796656035,1.0
170000,1.5565891,4.109462915601023,1.5990659,3.605266396862841,3.605266396862841,1.0
180000,1.5600305,4.053616590794133,1.6621269,3.5577861910763113,3.5577861910763113,1.0
190000,1.5619102,4.111963190184049,1.5581472,3.622432854569074,3.622432854569074,1.0
200000,1.5652894,4.1779045643153525,1.484752,3.6746768897089668,3.6746768897089668,1.0
210000,1.5700243,4.157976251935984,1.4986879,3.663332170896643,3.663332170896643,1.0
