Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,9.400207900207901,86.122375,-0.5098127080796289,-0.5098127080796289,1.0
20000,1.423773,9.61530286928799,62.5033,-0.4993524555188076,-0.4993524555188076,1.0
30000,1.425916,9.471698113207546,49.98709,-0.5052460849597192,-0.5052460849597192,1.0
40000,1.427283,9.610403397027602,34.709904,-0.4987367436511248,-0.4987367436511248,1.0
50000,1.4285715,9.528421052631579,27.262241,-0.5031789610887829,-0.5031789610887829,1.0
60000,1.4299755,9.619148936170212,22.248093,-0.4988522966027133,-0.4988522966027133,1.0
70000,1.4314946,9.583068783068782,18.756178,-0.5004550385412085,-0.5004550385412085,1.0
80000,1.4344176,9.606574761399788,16.808346,-0.49967127305199716,-0.49967127305199716,1.0
90000,1.4367855,9.617834394904458,14.100866,-0.4986305844885022,-0.4986305844885022,1.0
100000,1.4388981,9.64887940234792,11.503343,-0.4968370731773214,-0.4968370731773214,1.0
110000,1.4404882,9.62659574468085,10.10835,-0.49846972441191884,-0.49846972441191884,1.0
120000,1.4410708,9.57233368532207,8.907477,-0.5004329581950508,-0.5004329581950508,1.0
130000,1.4405911,9.5779427359491,7.2787867,-0.49978814911791836,-0.49978814911791836,1.0
140000,1.4414631,9.711682743837084,5.8950396,-0.4945182140429985,-0.4945182140429985,1.0
150000,1.4442714,9.777777777777779,5.4630995,-0.48992458005146733,-0.48992458005146733,1.0
160000,1.4448899,9.800215982721383,4.469157,-0.48981642478485604,-0.48981642478485604,1.0
170000,1.4440627,9.604453870625663,3.6838646,-0.4992258869198448,-0.4992258869198448,1.0
180000,1.4431846,9.782327586206897,2.7972214,-0.4905172535057726,-0.4905172535057726,1.0
190000,1.4435166,9.679487179487179,2.2393878,-0.4959295013776192,-0.4959295013776192,1.0
200000,1.4446532,9.677350427350428,1.6009716,-0.4955496392993052,-0.4955496392993052,1.0
210000,1.446468,9.755651237890204,1.1209576,-0.49149624562237826,-0.49149624562237826,1.0
220000,1.4483942,9.68482905982906,0.629345,-0.49501069660624886,-0.49501069660624886,1.0
230000,1.4485868,9.719957081545065,0.2721608,-0.4941907950536231,-0.4941907950536231,1.0
240000,1.4477061,9.707395498392282,-0.0060293004,-0.4940364169359718,-0.4940364169359718,1.0
250000,1.4458439,9.71244635193133,-0.10293134,-0.4939442770146353,-0.4939442770146353,1.0
260000,1.4436682,9.851248642779588,-0.27025974,-0.48749458864169626,-0.48749458864169626,1.0
270000,1.4431492,9.631522896698616,-0.33990166,-0.4968085243346843,-0.4968085243346843,1.0
280000,1.4434029,9.793513513513513,-0.40096617,-0.49066956009772117,-0.49066956009772117,1.0
290000,1.4448544,9.859934853420196,-0.4798727,-0.48668839553538934,-0.48668839553538934,1.0
300000,1.4454625,9.647121535181236,-0.5188635,-0.49626199290140494,-0.49626199290140494,1.0
310000,1.4454623,9.689839572192513,-0.5580769,-0.49455129221463817,-0.49455129221463817,1.0
320000,1.4454406,9.810400866738895,-0.57901436,-0.489145958488052,-0.489145958488052,1.0
330000,1.4454354,9.975850713501647,-0.6187528,-0.481448969058488,-0.481448969058488,1.0
340000,1.4448788,9.737634408602151,-0.6114916,-0.49287863852002056,-0.49287863852002056,1.0
350000,1.4453347,9.744886975242196,-0.5854697,-0.4921052761928095,-0.4921052761928095,1.0
360000,1.4448551,9.860869565217392,-0.63578594,-0.48545060839896353,-0.48545060839896353,1.0
370000,1.4418072,9.854505971769816,-0.65416366,-0.4873318987011651,-0.4873318987011651,1.0
380000,1.4396006,9.79027027027027,-0.6826196,-0.4891900776143208,-0.4891900776143208,1.0
390000,1.4385056,9.856521739130434,-0.68594867,-0.4861672223585048,-0.4861672223585048,1.0
400000,1.4372957,9.674493062966915,-0.6793335,-0.49563501770493823,-0.49563501770493823,1.0
410000,1.4350879,9.869330453563714,-0.68893474,-0.4860803607555994,-0.4860803607555994,1.0
420000,1.4327768,9.951273532668882,-0.6261125,-0.48147865636978066,-0.48147865636978066,1.0
430000,1.4309695,9.84056399132321,-0.706363,-0.4869848269314673,-0.4869848269314673,1.0
440000,1.4304266,9.935377875136911,-0.7039163,-0.48310383792783396,-0.48310383792783396,1.0
450000,1.4308343,9.938730853391684,-0.69183,-0.4825492488542323,-0.4825492488542323,1.0
460000,1.4304138,9.983516483516484,-0.66629565,-0.48045006672454066,-0.48045006672454066,1.0
470000,1.4305098,9.819068255687974,-0.67147696,-0.4889081200715658,-0.4889081200715658,1.0
480000,1.431053,9.865217391304348,-0.67857504,-0.4864456640637439,-0.4864456640637439,1.0
